	velocity:	1173.9992519951575	 +/- 	831.5401312900157
	tem_depth:	1.01203947201074	 +/- 	0.2201125414054142
	iod_depth:	0.9998036127963441	 +/- 	0.044037678850534494
	lsf_left_5:	0.37623949286948005	 +/- 	0.12156527285351382
	lsf_left_4:	-1.5783740174179273	 +/- 	0.22563810227271966
	lsf_left_3:	4.686829912492544	 +/- 	0.44203262406321026
	lsf_left_2:	-8.663787907740316	 +/- 	0.7725321870446606
	lsf_left_1:	7.225730777646531	 +/- 	0.9923039629080003
	lsf_right1:	7.008031327105016	 +/- 	0.9327466328442142
	lsf_right2:	-8.70297607451889	 +/- 	0.7547549774725373
	lsf_right3:	4.743569939595617	 +/- 	0.41949726826542927
	lsf_right4:	-1.6069211462739383	 +/- 	0.2265597844018958
	lsf_right5:	0.4308563511409332	 +/- 	0.12274086730758103
	wave_intercept:	5537.759940826839	 +/- 	350.2367570749436
	wave_slope:	0.02356607954738288	 +/- 	0.0022351162774934424
	cont_intercept:	36685.486694075415	 +/- 	15702.581303199138
	cont_slope:	-2.1435569999887276	 +/- 	22.026697283176972

	velocity:	1173.9992519951575	 +/- 	831.5401312900157
	tem_depth:	1.01203947201074	 +/- 	0.2201125414054142
	iod_depth:	0.9998036127963441	 +/- 	0.044037678850534494
	lsf_left_5:	0.37623949286948005	 +/- 	0.12156527285351382
	lsf_left_4:	-1.5783740174179273	 +/- 	0.22563810227271966
	lsf_left_3:	4.686829912492544	 +/- 	0.44203262406321026
	lsf_left_2:	-8.663787907740316	 +/- 	0.7725321870446606
	lsf_left_1:	7.225730777646531	 +/- 	0.9923039629080003
	lsf_right1:	7.008031327105016	 +/- 	0.9327466328442142
	lsf_right2:	-8.70297607451889	 +/- 	0.7547549774725373
	lsf_right3:	4.743569939595617	 +/- 	0.41949726826542927
	lsf_right4:	-1.6069211462739383	 +/- 	0.2265597844018958
	lsf_right5:	0.4308563511409332	 +/- 	0.12274086730758103
	wave_intercept:	5537.759940826839	 +/- 	350.2367570749436
	wave_slope:	0.02356607954738288	 +/- 	0.0022351162774934424
	cont_intercept:	36685.486694075415	 +/- 	15702.581303199138
	cont_slope:	-2.1435569999887276	 +/- 	22.026697283176972

