	velocity:	-28717.988102245952	 +/- 	1319.753061036429
	tem_depth:	0.9958527911802066	 +/- 	0.10978445332331632
	iod_depth:	0.9987152557775059	 +/- 	0.13835563016671892
	lsf_left_5:	1.2325101805719927	 +/- 	0.47237508349739743
	lsf_left_4:	-1.763337912254073	 +/- 	1.0426232354288596
	lsf_left_3:	5.2577298949765385	 +/- 	2.3059894803837846
	lsf_left_2:	-9.772469123129575	 +/- 	4.037478973181806
	lsf_left_1:	11.856967332335332	 +/- 	4.516266617774564
	lsf_right1:	12.119288774142088	 +/- 	4.647252033153668
	lsf_right2:	-10.281674826460291	 +/- 	4.253819611233011
	lsf_right3:	5.499853772007412	 +/- 	2.316700771439631
	lsf_right4:	-1.6663528001653929	 +/- 	1.055220595262436
	lsf_right5:	1.204975410833576	 +/- 	0.47203641712180133
	wave_intercept:	5542.387681825092	 +/- 	362.86427606888407
	wave_slope:	0.014774292205000403	 +/- 	0.0019013339296701222
	cont_intercept:	40479.20967180308	 +/- 	26904.660936551514
	cont_slope:	-7.426323607734344	 +/- 	25.438486229379887

