# wave_start		wave_stop		wave_start_air		wave_stop_air		flux
6999.64350105566	6999.9588262033785	6997.713497882392	6998.028738129805	3.071e-35
6999.746681891817	6999.816169503458	6997.816650937444	6997.886119839764	4.739e-75
6999.73893066144	6999.808418119184	6997.808901794061	6997.878370542528	4.732e-75
6999.723623121221	6999.7667845014175	6997.793598375348	6997.83674813448	1.1470000000000001e-59
6999.537460963833	6999.931985242247	6997.607486341504	6998.001904395521	1.56e-33
6999.564970107538	6999.897556569259	6997.634988078466	6997.9674849923495	4.97e-36
6999.483868362797	6999.940770757152	6997.553908170093	6998.010687544954	4.6e-36
6999.683811541573	6999.726972430801	6997.753797514839	6997.796946783137	1.149e-59
6999.665231023522	6999.744288188842	6997.735221999531	6997.814257878966	7.433000000000001e-57
6999.660624977146	6999.739682038419	6997.730617193319	6997.809652968735	7.439e-57
6999.658579850116	6999.723002804724	6997.728572616933	6997.79297822587	6.556e-74
6999.650221765476	6999.714644566234	6997.72021678268	6997.784622237808	6.547e-74
6999.617912842999	6999.652806015316	6997.687916559273	6997.722800336719	8.853e-38
6999.5682753959545	6999.637563998944	6997.638292476945	6997.707562424209	2.2540000000000003e-83
6999.422722762993	6999.773835755352	6997.492779033528	6997.843797489888	4.43e-37
6999.428409702972	6999.757677663356	6997.498464442319	6997.827643748406	2.8990000000000004e-74
6999.334828036794	6999.748931162293	6997.404907972671	6997.818899602312	1.367e-35
6999.291170651979	6999.750945993739	6997.36126234245	6997.820913891271	1.54e-35
6999.462023108507	6999.512871901732	6997.532068797562	6997.5829038999245	9.378000000000001e-83
6999.459770495778	6999.498964664912	6997.529816791342	6997.569000407581	1.385e-45
6999.303465917347	6999.635580990673	6997.373554297363	6997.705579949856	4.7579999999999996e-36
6999.214522436389	6999.586499100374	6997.28463476411	6997.656511274693	2.114e-37
6999.337037520127	6999.394170491594	6997.407116861108	6997.464234449728	1.882e-96
6999.161266995407	6999.489200789197	6997.231393661954	6997.559239160755	1.656e-36
6999.298262228617	6999.347992702581	6997.3683520097065	6997.418069093919	4.189e-61
6999.275146148171	6999.322915976777	6997.345242153181	6997.392999119935	3.0450000000000002e-47
6999.263598947391	6999.314444857674	6997.333698061443	6997.384530281649	3.0980000000000006e-100
6999.256670796006	6999.306400678949	6997.326771775436	6997.37648826879	4.185e-61
6999.2238928498255	6999.271661978827	6997.294002654597	6997.341758921936	1.662e-89
6999.174792149413	6999.2338167947655	6997.244915174365	6997.303923927551	5.0460000000000004e-74
6999.158478544445	6999.217502914648	6997.228605961773	6997.287614439886	5.05e-74
6998.883215253193	6999.278479625736	6996.953416784086	6997.348574733218	8.088e-37
